iter	Passed	Remaining
0	57	56981
1	58	28957
2	58	19441
3	58	14668
4	59	11791
5	59	9871
6	59	8498
7	60	7474
8	60	6679
9	60	6036
10	61	5511
11	61	5082
12	62	4720
13	62	4409
14	63	4144
15	63	3911
16	64	3709
17	64	3524
18	64	3353
19	65	3201
20	65	3061
21	66	2934
22	66	2818
23	66	2710
24	67	2615
25	67	2526
26	67	2442
27	68	2368
28	68	2298
29	69	2232
30	69	2167
31	69	2108
32	70	2052
33	70	1999
34	70	1950
35	71	1905
36	71	1860
37	71	1819
38	72	1779
39	72	1742
40	72	1706
41	73	1673
42	73	1645
43	74	1615
44	74	1584
45	75	1556
46	75	1529
47	75	1505
48	76	1483
49	76	1458
50	77	1434
51	77	1412
52	77	1390
53	78	1368
54	78	1348
55	78	1328
56	79	1309
57	79	1290
58	79	1271
59	80	1254
60	80	1237
61	80	1222
62	81	1207
63	81	1193
64	81	1179
65	82	1165
66	82	1151
67	83	1139
68	83	1127
69	83	1114
70	84	1101
71	84	1088
72	84	1076
73	85	1064
74	85	1054
75	85	1043
76	86	1032
77	86	1023
78	86	1012
79	87	1004
80	87	997
81	88	989
82	88	978
83	88	969
84	89	962
85	89	953
86	90	945
87	90	937
88	90	929
89	91	921
90	91	913
91	91	904
92	92	897
93	92	889
94	92	882
95	92	875
96	93	867
97	93	860
98	94	855
99	94	850
100	95	845
101	95	840
102	95	834
103	96	829
104	96	823
105	96	817
106	97	811
107	97	805
108	97	799
109	98	795
110	98	789
111	98	784
112	99	778
113	99	773
114	99	767
115	100	763
116	100	757
117	100	752
118	100	747
119	102	748
120	102	743
121	102	738
122	102	734
123	103	729
124	103	725
125	103	720
126	104	716
127	104	711
128	104	707
129	105	704
130	105	700
131	105	696
132	106	691
133	106	687
134	106	684
135	107	680
136	107	676
137	107	673
138	108	670
139	108	668
140	109	665
141	109	660
142	109	657
143	110	654
144	110	652
145	111	649
146	111	647
147	112	644
148	112	641
149	112	638
150	113	635
151	113	632
152	113	629
153	113	626
154	114	622
155	114	619
156	114	616
157	115	613
158	115	610
159	115	607
160	115	604
161	116	601
162	116	599
163	117	596
164	117	594
165	117	591
166	117	588
167	118	585
168	118	582
169	118	580
170	119	577
171	119	574
172	119	572
173	120	570
174	120	567
175	120	565
176	121	563
177	121	560
178	121	558
179	122	556
180	122	553
181	122	551
182	123	549
183	123	546
184	123	544
185	124	543
186	124	541
187	124	539
188	125	537
189	125	536
190	126	534
191	126	533
192	127	531
193	127	529
194	127	527
195	128	525
196	128	523
197	128	521
198	129	519
199	129	517
200	129	515
201	129	513
202	130	511
203	130	509
204	130	507
205	131	506
206	131	504
207	132	502
208	132	500
209	132	498
210	132	496
211	133	495
212	133	493
213	133	491
214	134	489
215	134	487
216	134	485
217	134	484
218	135	482
219	135	480
220	135	478
221	136	477
222	136	475
223	136	474
224	137	472
225	137	471
226	137	469
227	138	467
228	138	466
229	138	464
230	139	462
231	139	461
232	139	460
233	140	458
234	140	457
235	140	456
236	141	454
237	141	453
238	141	451
239	142	450
240	142	448
241	142	447
242	143	446
243	143	445
244	143	443
245	144	442
246	144	440
247	144	439
248	145	437
249	145	436
250	145	434
251	146	433
252	146	432
253	146	430
254	146	429
255	147	428
256	147	426
257	147	425
258	148	424
259	148	422
260	148	421
261	149	420
262	149	418
263	149	417
264	150	416
265	150	414
266	150	413
267	150	412
268	151	411
269	151	410
270	151	408
271	152	407
272	152	406
273	152	405
274	153	403
275	153	402
276	153	401
277	154	400
278	154	398
279	154	397
280	155	396
281	155	395
282	155	394
283	155	393
284	156	392
285	156	391
286	157	390
287	157	390
288	158	389
289	158	388
290	158	387
291	159	386
292	159	385
293	159	383
294	160	382
295	160	381
296	161	381
297	161	380
298	161	379
299	162	378
300	162	377
301	162	376
302	163	374
303	163	373
304	163	372
305	163	371
306	164	370
307	164	369
308	164	368
309	165	367
310	165	366
311	165	365
312	166	364
313	166	363
314	166	362
315	166	361
316	167	360
317	167	359
318	167	358
319	168	357
320	168	356
321	168	355
322	169	354
323	169	354
324	170	353
325	170	352
326	170	351
327	170	350
328	171	349
329	171	348
330	171	347
331	172	346
332	172	345
333	172	344
334	173	343
335	173	342
336	173	341
337	173	340
338	174	339
339	174	339
340	175	338
341	175	337
342	175	336
343	176	336
344	176	335
345	176	334
346	177	333
347	177	332
348	177	331
349	178	330
350	178	330
351	178	329
352	179	328
353	179	327
354	179	326
355	180	325
356	180	324
357	180	324
358	180	323
359	181	322
360	181	321
361	181	320
362	182	319
363	182	318
364	182	318
365	183	317
366	183	316
367	183	315
368	184	315
369	184	314
370	184	313
371	185	313
372	185	312
373	186	311
374	186	310
375	186	310
376	187	309
377	187	308
378	188	308
379	188	307
380	189	307
381	189	306
382	189	305
383	190	305
384	190	304
385	190	303
386	191	303
387	191	302
388	192	301
389	192	300
390	192	300
391	193	299
392	193	298
393	193	297
394	193	297
395	194	296
396	194	295
397	195	294
398	195	294
399	195	293
400	195	292
401	196	291
402	196	291
403	196	290
404	197	289
405	197	288
406	197	288
407	198	287
408	198	286
409	198	286
410	199	285
411	200	285
412	200	285
413	201	284
414	201	283
415	201	283
416	201	282
417	202	281
418	202	280
419	202	280
420	203	279
421	203	278
422	203	278
423	204	277
424	204	277
425	205	276
426	205	275
427	205	275
428	206	274
429	206	273
430	206	273
431	207	272
432	207	271
433	207	271
434	208	270
435	208	269
436	208	269
437	209	268
438	209	267
439	209	267
440	210	266
441	210	265
442	210	265
443	211	264
444	211	263
445	211	263
446	212	262
447	212	261
448	212	261
449	212	260
450	213	259
451	213	259
452	213	258
453	214	257
454	214	257
455	215	256
456	215	255
457	215	255
458	216	254
459	216	253
460	216	253
461	217	252
462	217	252
463	217	251
464	217	250
465	218	250
466	218	249
467	218	248
468	219	248
469	219	247
470	220	247
471	220	246
472	221	246
473	221	245
474	221	245
475	222	244
476	222	243
477	222	243
478	223	242
479	223	242
480	223	241
481	224	240
482	224	240
483	224	239
484	225	238
485	225	238
486	225	237
487	225	237
488	226	236
489	226	235
490	226	235
491	227	234
492	227	233
493	227	233
494	228	232
495	228	232
496	228	231
497	228	230
498	229	230
499	229	229
500	229	229
501	230	228
502	230	228
503	231	227
504	231	226
505	231	226
506	232	225
507	232	225
508	233	224
509	233	224
510	233	223
511	234	223
512	234	222
513	234	222
514	235	221
515	235	220
516	235	220
517	236	219
518	236	219
519	237	218
520	237	218
521	237	217
522	238	217
523	238	216
524	239	216
525	240	216
526	240	216
527	241	215
528	241	215
529	241	214
530	242	213
531	242	213
532	242	212
533	243	212
534	243	211
535	243	211
536	244	210
537	244	209
538	244	209
539	245	208
540	245	208
541	245	207
542	246	207
543	246	206
544	246	205
545	246	205
546	247	204
547	247	204
548	247	203
549	248	203
550	248	202
551	248	201
552	249	201
553	249	200
554	249	200
555	250	199
556	250	199
557	250	198
558	251	198
559	251	197
560	252	197
561	252	196
562	253	196
563	253	195
564	253	195
565	254	194
566	254	194
567	254	193
568	255	193
569	255	192
570	255	192
571	256	191
572	256	191
573	256	190
574	257	190
575	257	189
576	257	188
577	258	188
578	258	187
579	258	187
580	259	186
581	259	186
582	259	185
583	260	185
584	260	184
585	260	184
586	261	183
587	261	183
588	262	182
589	262	182
590	262	181
591	263	181
592	263	180
593	263	180
594	264	179
595	264	179
596	264	178
